Album,Artist,Year,Descriptors,Song 1,Song 2,Added
Massive Shoe,Way Dynamic,2025,"soft rock, sunshine pop, jazzy",My Visit (To Hell),Hurricane,2025
45 Pounds,YHWH Nailgun,2025,"industrial, post-punk, funky",Castrato Raw (Fullback),Tear Pusher,2025
Bird at Sunrise,I Am Robot and Proud,2025,"electronic, cozy, groovy",Lines in a Grid,Yesteryou,2025
Getting Killed,Geese,2025,"indie rock, groovy, funky",Islands of Men,Bow Down,2025
Elvers Pass,Jorg Kuning,2025,"house, bouncy, bloopy",Synthetic Squashies,Skudde,2025
Holo Boy,This Is Lorelei,2025,"indie rock, groovy, bedroom pop",But You Just Woke Me Up,Mouth Man,2025
Scanners,Anthony Naples,2025,"house, trance, techno",Scanners,Night,2025
Rápido Mamá,María Wolff,2025,"disco, sophisti-pop, funky",Hazte Hombre,El Baile,2025
I'll Be Waving as You Drive Away,Hayden Pedigo,2025,"folk, americana, ambient",Long Pond Lily,All the Way Across,2025
32,Jacob Mann,2025,"jazz, mellow, playful",Alhambra Park,Here We Go,2025
sorry i thought you were someone else,K-Lone,2025,"house, cozy, groovy",fauna,sslip,2025
Awkward Dance Music,Windows 96,2025,"electronic, chillwave, groovy",Why?,Late Night Television,2025
Lifetime,Erika de Casier,2025,"trip-hop, mellow, dreamy",December,Delusional,2025
Baby,Dijon,2025,"neo-soul, wonky, groovy",Another Baby!,Automatic,2025
Los Thuthanaka,Los Thuthanaka,2025,"electronic, groovy, experimental",Huayño "Ipi Saxra",Huayño "Phuju",2025
Music 2,FM Skyline & Equip,2025,"synthetic, breakbeat, dreamy",Megablast,Jaburo,2025
Uhlmann Johnson Wilkes,"Gregory Uhlmann, Josh Johnson, and Sam Wilkes",2025,"jazzy, electroacoustic, groovy",Marvis,Hoe Down,2025
Essex Honey,Blood Orange,2025,"sophisti-pop, dreamy, jazzy",Vivid Light,The Train (King's Cross),2025
Luminescent Creatures,Ichiko Aoba,2025,"ambient, folk, dreamy",tower,Luciférine,2025
Different Rooms,Jeremiah Chiu & Marta Sofia Honer,2025,"electronic, ambient, jazzy",Different Rooms,Speaking in Parallel,2025
Weirdo,Emma-Jean Thackray,2025,"neo-soul, jazzy, funky",Weirdo,Wanna Die,2025
Sirius Syntoms,Lindstrøm,2025,"disco, house, bouncy",Cirkl,Moo)n,2025
Cabin in the Sky,De La Soul,2025,"hip-hop, funky, sampledelia",Just How It Is (Sometimes),Day in the Sun (Gettin' wit U),2025
I Love My Computer,Ninajirachi,2025,"electropop, house, glitchy",London Song,CSIRAC,2025
Equus Caballus,Men I Trust,2025,"indie pop, groovy, dreamy",Come Back Down,Ring of Past (2025),2025
