Album,Artist,Year,Descriptors,Song 1,Song 2,Added
Kind of Blue,Miles Davis,1959,"jazz, soulful, mellow",So What,All Blues,2022-05-02
Giant Steps,John Coltrane,1960,"jazz, post-bop, virtuosic",Giant Steps,Naima,2022-05-03
Rubber Soul,The Beatles,1965,"folk, rock, groovy",You Won't See Me,The Word,2022-05-04
Sgt. Pepper’s Lonely Hearts Club Band,The Beatles,1967,"rock, psychedelic, eclectic",Getting Better,When I'm Sixty Four,2022-05-05
Head Hunters,Herbie Hancock,1973,"jazz, funky, groovy",Watermelon Man,Sly,2022-05-06
Innervisions,Stevie Wonder,1973,"funky, jazzy, soulful",Too High,Don't You Worry 'Bout A Thing,2022-05-07
The Royal Scam,Steely Dan,1976,"jazzy, rock, funky",The Fez,Green Earrings,2022-05-08
Aja,Steely Dan,1977,"jazzy, funky, breezy",Black Cow,Home at Last,2022-05-09
Look Sharp!,Joe Jackson,1979,"rock, punk, funky",Sunday Papers,Look Sharp!,2022-05-10
Glass Houses,Billy Joel,1980,"rock, new wave, punk",Sometimes a Fantasy,All for Leyna,2022-05-11
Remain in Light,Talking Heads,1980,"funky, Afrobeat, new wave",Crosseyed and Painless,Once in a Lifetime,2022-05-12
The Nightfly,Donald Fagen,1982,"jazzy, breezy, funky",Green Flower Street,New Frontier,2022-05-13
Robson Jorge e Lincoln Olivetti,Robson Jorge & Lincoln Olivetti,1982,"jazzy, disco, Latin",Jorgea Corisco,Pret-À-Porter,2022-05-14
Speaking in Tongues,Talking Heads,1983,"new wave, funky, groovy",Making Flippy Floppy,Moon Rocks,2022-05-15
Straight Outta Compton,N.W.A.,1988,"hip hop, gangsta rap, funky",Parental Discretion Iz Advised,I Ain't Tha 1,2022-05-16
Paul's Boutique,Beastie Boys,1989,"hip hop, funky, sampledelia",Egg Man,Shadrach,2022-05-17
3 Feet High and Rising,De La Soul,1989,"hip hop, sampledelia, jazzy",Eye Know,Say No Go,2022-05-18
The Low End Theory,A Tribe Called Quest,1991,"hip hop, jazzy, funky",Butter,Jazz (We've Got),2022-05-19
Illmatic,Nas,1994,"hip hop, groovy, jazzy",The World is Yours,It Ain't Hard to Tell,2022-05-20
Baduizm,Erykah Badu,1997,"neo soul, stanky, funky",On & On,Other Side of the Game,2022-05-21
Mos Def & Talib Kweli Are Black Star,Black Star,1998,"hip hop, funky, groovy",Definition,Respiration,2022-05-22
The Miseducation of Lauryn Hill,Ms. Lauryn Hill,1998,"neo soul, hip hop, funky",Doo Wop (That Thing),Final Hour,2022-05-23
"You've Come a Long Way, Baby",Fatboy Slim,1998,"big beat, electronic, groovy",The Rockafeller Skank,Gangster Trippin,2022-05-24
Black on Both Sides,Mos Def,1999,"hip hop, soulful, funky",Do It Now,Mathematics,2022-05-25
Things Fall Apart,The Roots,1999,"hip hop, funky, stanky",The Next Movement,Don't See Us,2022-05-26
The Party Album!,Vengaboys,1999,"Eurodance, electronic, groovy",Up & Down,The Vengabeat,2022-05-27
Like Water for Chocolate,Common,2000,"hip hop, stanky, jazzy",Dooinit,A Film Called (PIMP),2022-05-28
Voodoo,D’Angelo,2000,"neo soul, stanky, funky",Chicken Grease,The Root,2022-05-29
Mama’s Gun,Erykah Badu,2000,"neo soul, funky, jazzy",My Life,Orange Moon,2022-05-30
Train of Thought,Reflection Eternal,2000,"hip hop, groovy, funky",This Means You,Ghetto Afterlife,2022-05-31
Discovery,Daft Punk,2001,"house, funky, disco","Harder, Better, Faster, Stronger",Short Circuit,2022-06-01
Madvillainy,Madvillain,2004,"hip hop, jazzy, wonky",Meat Grinder,Figaro,2022-06-02
MM…FOOD,MF DOOM,2004,"hip hop, groovy, goofy",Kon Queso,Vomitspit,2022-06-03
The Mouse & The Mask,DANGERDOOM,2005,"hip hop, funky, sampledelia",El Chupa Nibre,Crosshairs,2022-06-04
Sound of Silver,LCD Soundsystem,2007,"electronic, groovy, punk",Time to Get Away,Sound of Silver,2022-06-05
Vampire Weekend,Vampire Weekend,2008,"indie rock, groovy, Afrobeat",Oxford Comma,Cape Cod Kwassa Kwassa,2022-06-06
Torches,Foster the People,2011,"indie pop, electronic, psychedelic",Don't Stop (Color on the Walls),Waste,2022-06-07
Settle,Disclosure,2013,"house, groovy, funky",When a Fire Starts to Burn,Stimulation,2022-06-08
AOR,Ed Motta,2013,"jazzy, funky, breezy",Simple Guy,1978 (Leave the Radio On),2022-06-09
Syro,Aphex Twin,2014,"electronic, groovy, glitchy",minipops 67,CIRCLONT14,2022-06-10
Dopamine,BØRNS,2015,"indie pop, electronic, groovy",Dug My Heart,Holy Ghost,2022-06-11
<|º_º|>,Caravan Palace,2015,"electroswing, jazzy, groovy",Wonderland,Russian,2022-06-12
Emotion,Carly Rae Jepsen,2015,"synth pop, dance, groovy",Run Away With Me,Boy Problems,2022-06-13
To Pimp A Butterfly,Kendrick Lamar,2015,"hip hop, jazzy, soulful",King Kunta,How Much A Dollar Cost,2022-06-14
Sylva,Snarky Puppy & Metropole Orkest,2015,"jazzy, orchestral, epic",Flight,Atchafalaya,2022-06-15
24K Magic,Bruno Mars,2016,"poppy, funky, soulful",Chunky,That's What I Like,2022-06-16
Bonito Generation,Kero Kero Bonito,2016,"groovy, bouncy, poppy",Try Me,Trampoline,2022-06-17
The Beautiful Game,Vulfpeck,2016,"funky, disco, poppy",Animal Spirits,"1 for 1, DiMaggio",2022-06-18
Scratch & Sniff,Jazz Spastiks,2017,"sampledelia, jazzy, hip hop",Bananas (Unzip a Banana),"Bubblegum (Bubble, Bubble, Bubble, Bubble, Pop)",2022-06-19
Heartbreak Hits,Theo Katzman,2017,"rock, funky, folk",Crappy Love Song,Plain Jane Heroin,2022-06-20
Drunk,Thundercat,2017,"funky, jazzy, psychedelic",Tokyo,Friend Zone,2022-06-21
Time,Louis Cole,2018,"funky, jazzy, groovy",Weird Part of the Night,Things,2022-06-22
The Optimist,Ryan Porter,2018,"jazz, groovy, swaggy",The Instrumental Hip-Hoppa,Déjà Vu,2022-06-23
Geography,Tom Misch,2018,"funky, soulful, groovy",It Runs Through Me,Disco Yes,2022-06-24
